title,release_date,popularity,genre_ids,vote_average
Warhorse One,2023-06-30,175.581,"[28, 18, 10752]",7.259
Indiana Jones and the Dial of Destiny,2023-06-28,187.763,"[12, 28]",6.621
Jawan,2023-09-07,175.199,"[28, 12, 53]",7.232
Radical,2023-10-19,180.964,[18],8.509
Justice League: Warworld,2023-07-25,164.425,"[16, 28, 878, 12]",7.185
While We Sleep,2021-10-01,247.426,[27],4.6
Black Panther: Wakanda Forever,2022-11-09,148.188,"[28, 12, 878]",7.147
Crazy Kwai Boo: Sanxingdui Spirited Away,2022-07-29,184.362,"[16, 35, 14]",7.25
Fast Charlie,2023-12-08,175.032,"[28, 80, 18]",6.1
Sayen: Desert Road,2023-10-19,153.874,"[28, 53]",6.272
"Muchachos, la película de la gente",2023-12-07,196.59,[99],6.889
Me contro Te: Il film - Missione giungla,2023-01-19,233.695,"[10751, 14]",8.2
Justice League: Crisis on Infinite Earths Part One,2024-01-09,175.538,"[16, 878, 28]",7.712
Harry Potter and the Philosopher's Stone,2001-11-16,150.939,"[12, 14]",7.915
Me Before You,2016-06-01,142.995,"[18, 10749]",7.923
Glorious,2022-07-21,125.084,"[27, 14, 35]",5.779
PAW Patrol: The Mighty Movie,2023-09-21,166.944,"[16, 10751, 28, 878, 35, 18, 12]",7.074
Haunting of the Queen Mary,2023-07-19,139.887,"[27, 53]",5.27
Despicable Me 4,2024-07-03,164.664,"[16, 10751, 35, 12]",0.0
The Flood,2023-07-14,134.96,"[28, 9648, 53, 27]",6.6
The Kill Room,2023-09-14,134.988,"[53, 35, 80]",6.242
Guy Ritchie's The Covenant,2023-04-19,162.05,"[10752, 28, 53]",7.802
Obsessed,2022-07-14,137.557,"[53, 18]",3.5
Turning Red,2022-03-10,149.015,"[16, 10751, 35, 14]",7.411
Extraction 2,2023-06-09,149.237,"[28, 53]",7.473
The Hobbit: The Battle of the Five Armies,2014-12-10,109.385,"[28, 12, 14]",7.314
Ghosted,2023-04-18,122.295,"[28, 35, 10749]",7.004
Top Gun: Maverick,2022-05-24,134.373,"[28, 18]",8.232
Thanksgiving,2023-11-16,149.527,"[27, 9648, 53]",6.7
The Maze Runner,2014-09-10,116.014,"[28, 9648, 878, 53]",7.176
Aquaman,2018-12-07,137.914,"[28, 12, 14]",6.902
Sniper: G.R.I.T. - Global Response & Intelligence Team,2023-09-26,134.052,"[28, 53]",6.874
Inside Out 2,2024-06-13,137.04,"[16, 10751, 18, 12, 14]",0.0
Ant-Man and the Wasp: Quantumania,2023-02-15,149.957,"[28, 12, 878]",6.369
Bhakshak,2024-02-08,110.878,"[18, 80]",8.1
Resident Evil: Death Island,2023-06-22,135.888,"[16, 28, 27]",7.484
Harry Potter and the Chamber of Secrets,2002-11-13,127.034,"[12, 14]",7.72
Erik Stoneheart,2022-12-05,153.339,"[10751, 12, 14]",4.0
Blade Runner 2049,2017-10-04,106.995,"[878, 18]",7.553
Harry Potter and the Prisoner of Azkaban,2004-05-31,135.229,"[12, 14]",8.019
The Last Boy on Earth,2023-07-08,118.099,"[878, 27, 12]",5.3
Shazam! Fury of the Gods,2023-03-15,117.365,"[35, 28, 14]",6.598
The Little Mermaid,2023-05-18,143.518,"[12, 10751, 14, 10749]",6.412
The Collective,2023-08-04,132.232,"[28, 53]",5.911
Coraline,2009-02-05,114.927,"[16, 10751, 14]",7.871
Charlie and the Chocolate Factory,2005-07-13,128.809,"[12, 35, 10751, 14]",7.049
Knights of the Zodiac,2023-04-27,140.833,"[14, 28, 12]",6.49
Jagun Jagun,2023-08-10,130.259,"[28, 18]",6.602
Soulcatcher,2023-08-02,133.551,[28],6.5
Mob Land,2023-08-04,133.135,"[28, 80, 53]",5.702
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,133.064,"[12, 14, 28]",7.796
The Collective,2023-08-04,132.232,"[28, 53]",5.911
The Wandering Earth II,2023-01-22,132.199,"[878, 28, 18]",7.255
My Grandpa is an Alien,2019-03-21,130.933,"[12, 10751, 878]",7.28
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,130.875,"[12, 10751, 14]",7.131
Harry Potter and the Goblet of Fire,2005-11-16,130.318,"[12, 14]",7.813
Jagun Jagun,2023-08-10,130.259,"[28, 18]",6.602
Interstellar,2014-11-05,129.482,"[12, 18, 878]",8.428
Charlie and the Chocolate Factory,2005-07-13,128.809,"[12, 35, 10751, 14]",7.049
The Valet,2022-05-11,128.625,"[35, 10749]",7.591
Prey,2022-08-02,127.041,"[53, 28, 878]",7.737
Harry Potter and the Chamber of Secrets,2002-11-13,127.034,"[12, 14]",7.72
"Lover, Stalker, Killer",2024-02-09,126.738,"[80, 99]",6.845
Dragon Ball: Mystical Adventure,1988-07-09,126.066,"[28, 16]",6.764
Kung Fu Panda 4,2024-03-06,125.587,"[28, 12, 16, 35, 10751]",0.0
Glorious,2022-07-21,125.084,"[27, 14, 35]",5.795
The Nun II,2023-09-06,125.03,"[27, 9648]",6.8
Night Swim,2024-01-03,124.599,"[27, 53]",5.994
Godzilla vs. Kong,2021-03-24,124.355,"[28, 878, 53]",7.635
Desperation Road,2023-10-19,124.258,"[53, 28, 80, 18]",6.8
Bedspacer,2024-01-05,123.141,"[53, 18]",4.286
Land of Bad,2024-01-25,123.015,"[28, 53, 10752]",7.346
The Smurfs: A Christmas Carol,2011-12-02,122.698,"[35, 10751, 16]",6.684
Ghosted,2023-04-18,122.295,"[28, 35, 10749]",7.004
Richard the Stork and the Mystery of the Great Jewel,2023-03-23,121.265,"[16, 12, 35, 10751]",7.214
Pirates of the Caribbean: At World's End,2007-05-19,119.2,"[12, 14, 28]",7.248
Players,2024-02-13,119.101,"[10749, 35]",6.409
Kandahar,2023-05-25,118.701,"[28, 53]",6.903
Harry Potter and the Deathly Hallows: Part 1,2010-11-17,118.358,"[12, 14]",7.758
The Last Boy on Earth,2023-07-08,118.099,"[878, 27, 12]",5.3
Salitan,2024-02-16,117.677,"[18, 10749]",0.0
Shazam! Fury of the Gods,2023-03-15,117.365,"[35, 28, 14]",6.598
Harry Potter and the Deathly Hallows: Part 2,2011-07-12,117.188,"[14, 12]",8.1
Society of the Snow: Who Were We on the Mountain?,2024-01-23,117.176,[99],7.722
Anatomy of a Fall,2023-08-13,116.969,"[18, 9648, 80]",7.743
Thor: Love and Thunder,2022-07-06,116.772,"[14, 28, 35]",6.483
Pirates of the Caribbean: On Stranger Tides,2011-05-15,116.606,"[12, 28, 14]",6.543
The Maze Runner,2014-09-10,116.014,"[28, 9648, 878, 53]",7.176
Trunk: Locked In,2023-11-24,107.146,"[53, 28, 18]",5.681
Black Adam,2022-10-19,106.789,"[28, 12, 878]",6.971
Land of Bad,2024-01-25,123.015,"[28, 53, 10752]",7.273
The Resort,2021-04-30,107.438,[27],5.434
Shrek,2001-05-18,102.564,"[16, 35, 14, 12, 10751]",7.735
Prey,2022-08-02,127.041,"[53, 28, 878]",7.737
Zack Snyder's Justice League,2021-03-18,115.758,"[28, 12, 14]",8.174
My Grandpa is an Alien,2019-03-21,130.933,"[12, 10751, 878]",7.28
Once Upon a Deadpool,2018-12-11,109.684,"[35, 28, 12]",7.1
When Evil Lurks,2023-10-05,112.285,"[27, 53]",7.372
Anatomy of a Fall,2023-08-13,116.969,"[18, 9648, 80]",7.743
Inside Out,2015-06-09,115.344,"[16, 10751, 12, 18, 35]",7.918
Past Lives,2023-06-02,102.91,"[18, 10749]",7.856
Richard the Stork and the Mystery of the Great Jewel,2023-03-23,121.265,"[16, 12, 35, 10751]",7.214
Doctor Strange in the Multiverse of Madness,2022-05-04,110.63,"[14, 28, 12]",7.323
I.S.S.,2024-01-19,98.819,"[878, 53]",5.054
The Smurfs: A Christmas Carol,2011-12-02,122.698,"[35, 10751, 16]",6.684
Fifty Shades of Grey,2015-02-11,115.66,"[18, 10749, 53]",5.881
365 Days: This Day,2022-04-27,102.152,"[10749, 18]",5.846
Hacksaw Ridge,2016-10-07,99.289,"[18, 36, 10752]",8.192
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,110.431,"[12, 14, 28]",8.409
Encanto,2021-10-13,110.27,"[16, 35, 10751, 14]",7.61
Once Upon a Deadpool,2018-12-11,109.684,"[35, 28, 12]",7.1
Dawn of the Planet of the Apes,2014-07-08,109.647,"[878, 28, 18, 53]",7.3
The Hobbit: The Battle of the Five Armies,2014-12-10,109.385,"[28, 12, 14]",7.314
Titanic,1997-11-18,109.267,"[18, 10749]",7.9
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,109.254,"[16, 35, 28, 878]",7.272
Iron Man,2008-04-30,108.783,"[28, 878, 12]",7.642
The Resort,2021-04-30,107.438,[27],5.434
Trunk: Locked In,2023-11-24,107.146,"[53, 28, 18]",5.681
Blade Runner 2049,2017-10-04,106.995,"[878, 18]",7.553
"Monsters, Inc.",2001-11-01,106.957,"[16, 35, 10751]",7.841
Mom's Friend,2015-08-20,106.925,"[18, 10749]",6.65
Black Adam,2022-10-19,106.789,"[28, 12, 878]",6.971
"Ruby Gillman, Teenage Kraken",2023-06-28,106.377,"[16, 10751, 14, 35]",7.3
Pretty Guardian Sailor Moon Cosmos The Movie,2023-06-09,105.977,[16],7.5
Race to the Summit,2023-10-04,105.863,"[99, 28, 12]",7.047
Toy Story,1995-10-30,105.823,"[16, 12, 10751, 35]",7.972
Meet Me in Rome,2024-02-09,105.537,"[35, 10749, 99]",0.0
Avatar,2009-12-15,105.095,"[28, 12, 14, 878]",7.579
Despicable Me 2,2013-06-26,92.884,"[16, 35, 10751]",6.919
Coco,2017-10-27,101.13,"[10751, 16, 10402, 12]",8.214
Despicable Me,2010-07-08,85.866,"[10751, 16, 35]",7.232
Hidden Strike,2023-07-06,98.692,"[28, 12, 35, 53]",6.976
Creation of the Gods I: Kingdom of Storms,2023-07-20,84.841,"[28, 14, 10752]",7.285
Shrek 2,2004-05-19,101.982,"[16, 10751, 35, 14, 12]",7.262
The Hunger Games: Mockingjay - Part 1,2014-11-19,86.059,"[878, 12, 53]",6.806
Tangled,2010-11-24,84.958,"[16, 10751]",7.6
The Black Book,2023-09-22,105.033,"[9648, 53, 28]",6.739
Iron Man,2008-04-30,108.783,"[28, 878, 12]",7.642
Mavka: The Forest Song,2023-03-02,103.585,"[16, 12, 10751, 14]",7.3
After Everything,2023-09-13,111.112,"[10749, 18]",6.953
Taken,2008-02-18,72.74,"[28, 53]",7.391
Pirates of the Caribbean: At World's End,2007-05-19,119.2,"[12, 14, 28]",7.248
Wrath of Man,2021-04-22,104.675,"[53, 28, 80]",7.652
